Address,Cluster
0x00018b5e3d3c2f43c1e2ccb15f7b7332b312623e,3
0x0001f74eb4854f9ee81564b6343d612c2c5a691a,3
0x0001fd043311c5942e0e0b11b8e9634f35f73fad,3
0x00051025f6968cb60967ddfcfb1663ef6df9789e,1
0x0006f6534c675d8e24aaf841be845ef19d7d5c35,3
0x0007a2a58f7458ee2b9ef2f24d00e59d486f65a5,2
0x0007a3f6a0dc83c299f1076bbfc2799fe940c0b9,3
0x000e0e5701b14fb77160bcc7bfe7256522d5927b,3
0x000e20a2eefa97815f3f5057fcd8920acf1ae0de,1
0x00160c33dd65e102e41737e2c117c7492d967c90,3
0x00163a214376cf27ba77aa6cd5040d54cdc9c6a5,3
0x0017408209fd546fda8f5f5135ebfb346a7cfabf,1
0x00182fbce46e192e58d0f1cf0eed990a32593da5,3
0x002198f2344b34318bd6c587049ea1dd9a63ec1e,3
0x002848284eb655a5a99250ffbb09605b8e624261,3
0x002bd84bfb83749007d6cffff4aa51df78e4688d,1
0x002c1d8fb92f4673456237eb2659ef8558e38924,3
0x002de87ff96d424cec04c24c20913d22b8f1bec7,1
0x00311c3e2d2e60fe50df22aca488b170b6cad337,3
0x003dd97caebeb0ebcfed44627c866bc1e2008520,3
0x003f01a677440f4df2b94c86d235b9fdaea34921,3
0x0041e3db2b27d16a2f4fd5f6a5622974fff104dd,3
0x004a28d65e7123cc48360ea69abcc527301c826a,3
0x00522a8237edf60abd3010705fdda0c63bdb42fe,1
0x00589aebfcc0f139d585721a66d01c4fb25a6a1e,1
0x005c0f79572122bb3393b6c328133d0253d857ee,1
0x005c575353dc8819f05e272c27e2e842f9afa24c,1
0x0065afacff0cd3ae882ed26ce5ebeb94721919a2,1
0x006a46ed4fa06e0c8abf4394e7794d5cfb7eb992,1
0x007a8d1d6550b2254e5d0e6edbb5f4d159928320,3
0x007bf5b1a3ff72cd50dade030899efec8087addd,3
0x00833020cbc250f8691b550e615a963491840ebc,1
0x0083d744c0949ad9091f236f33e7fb17e69c03ee,1
0x00865873354a0402a1c9dd623efd8781fb98feb2,3
0x008ef81e8f3c6875188fac877b8e657de5741cc3,3
0x00957be4fde4bf905733d51384be57927e11ab20,3
0x00a581d721ffdd1f5efda1834e2cf8f14dc9dfc5,1
0x00abc172cc9bc8cc473e55d2aa978a003e1da255,1
0x00acb924aecb47efaa62993fd5f6f34d2fec6907,1
0x00acf0dea7a54d1abf82ff2aa381d0bbf44e2f71,1
0x00c38427f891d50cfe882781311df75be4c63439,3
0x00c8f088ce0625b4f6ca5d5167124f1c8fe24083,1
0x00ce8ad7e44fea30ecbe2fb69963eaa26b5b56a0,3
0x00d1854afce732c78c5250de27dca99cce78ef99,1
0x00d681a7b6584f978f63c81cfd847064ce19a080,1
