items,freq
['POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26'],3095
['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39'],2374
['ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239'],2314
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239']",1869
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26']",1771
['ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023'],1746
"['ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",1677
"['ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26']",1605
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",1521
['ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07'],1490
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",1472
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26']",1436
"['ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07']",1391
"['ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",1356
"['ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",1326
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07']",1246
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07']",1217
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",1208
"['ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023', 'POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26']",1202
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_OMG Network (OMG)_0xd26114cd6ee289accf82350c8d8487fedb8a0c07', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023']",1188
"['ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023', 'POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26']",1169
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023', 'POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26']",1107
"['ETH_HEX (HEX)_0x2b591e99afe9f32eaa6214f7b7629768c40eeb39', 'ETH_Livepeer Token (LPT)_0x58b6a8a3302369daec383334672404ee733ab239', 'ETH_Streamr (old) (XDATA)_0x0cf0ee63788a0849fe5297f3407f701e122cc023', 'POL_iNFTspaceToken (INS)_0xb988bd378a0754957d5d9471c96e0f8051645a26']",1087
['ETH_Tether USD (USDT)_0xdac17f958d2ee523a2206206994597c13d831ec7'],1055
