Rank,Address,Name Tag,Balance,Percentage,Txn Count
1,0x00000000219ab540356cbb839cbe05303d7705fa,Beacon Deposit Contract,"53,154,305.45543331 ETH",44.13954312%,"567,539"
2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,"2,853,804.53102662 ETH",2.36981044%,"18,182,512"
3,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,"1,996,008.36197944 ETH",1.65749315%,"1,684"
4,0x40b38765696e3d5d8d9d834d8aad4bb6e418e489,Robinhood,"1,420,194.72954157 ETH",1.17933526%,144
5,0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,Arbitrum: Bridge,"1,144,825.78269208 ETH",0.95066781%,54
6,0x49048044d57e1c92a77f79988d21fa8faf74e97e,Base: Base Portal,"813,215.73459354 ETH",0.67529753%,"1,080,202"
7,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,Kraken 13,"731,253.52375598 ETH",0.60723579%,513
8,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,Binance: Binance-Peg Tokens,"584,999.04884119 ETH",0.48578550%,92
9,0xf977814e90da44bfa03b6295a0616a897441acec,Binance: Hot Wallet 20,"549,655.39134465 ETH",0.45643599%,"16,045"
10,0xa6715eafe5d215b82cb9e90a9d6c8970a7c90033,,"525,654.64921296 ETH",0.43650568%,191
11,0xbeb5fc579115071764c7423a4f12edde41f106ed,,"508,325.94284039 ETH",0.42211585%,"24,033"
12,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,"472,438.69694794 ETH",0.39231494%,"22,314"
13,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex: MultiSig 3,"468,063.76046368 ETH",0.38868198%,130
14,0xe92d1a43df510f82c66382592a047d288f85226f,Bitfinex 19,"450,118.32841318 ETH",0.37378002%,473
15,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,"369,498.96536194 ETH",0.30683339%,774
16,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,Bybit: Hot Wallet 1,"346,346.7688584 ETH",0.28760771%,"132,506"
17,0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,,"325,000.48236417 ETH",0.26988167%,123
18,0x0e58e8993100f1cbe45376c410f97f4893d9bfcd,,"315,418.03592238 ETH",0.26192437%,"17,399"
19,0x3bfc20f0b9afcace800d73d2191166ff16540258,Polkadot: MultiSig,"306,276.63547139 ETH",0.25433332%,524
20,0x8103683202aa8da10536036edef04cdd865c225e,Bitfinex 20,"275,000.03348003 ETH",0.22836110%,61
21,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,EthDev,"269,274.14312592 ETH",0.22360630%,"2,641"
22,0x8696e84ab5e78983f2456bcb5c199eea9648c8c2,Coincheck Cold 2,"263,383.3078495 ETH",0.21871453%,742
23,0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,,"254,248.45402681 ETH",0.21112891%,57
24,0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,Rain Lohmus,"250,000.0239164 ETH",0.20760100%,77
25,0x539c92186f7c6cc4cbf443f26ef84c595babbca1,OKX 73,"250,000.00963143 ETH",0.20760099%,21
26,0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f,OKX 76,"250,000.00193497 ETH",0.20760098%,28
27,0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f,OKX 93,"250,000.00186387 ETH",0.20760098%,30
28,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,Ceffu: Custody Hot Wallet 2,"245,268.07326614 ETH",0.20367157%,592
29,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,,"243,300.00448497 ETH",0.20203728%,216
30,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,Vb 3,"240,000.0295642 ETH",0.19929696%,174
31,0xafcd96e580138cfa2332c632e66308eacd45c5da,,"237,207.45074413 ETH",0.19697799%,311
32,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,Paxos 2,"205,225.27253603 ETH",0.17041987%,63
33,0x94dbf04e273d87e6d9bed68c616f43bf86560c74,,"189,631.20729574 ETH",0.15747050%,"11,277"
34,0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,,"187,068.19582454 ETH",0.15534216%,44
35,0xf3b0073e3a7f747c7a38b36b805247b222c302a3,Crypto.com 6,"182,265.75830516 ETH",0.15135420%,"363,906"
36,0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,QuadrigaCX 4,"169,032.00330836 ETH",0.14036484%,62
37,0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10,,"168,434.97223825 ETH",0.13986906%,20
38,0x15c22df3e71e7380012668fb837c537d0f8b38a1,,"164,861.96687941 ETH",0.13690202%,100
39,0x999e77c988c4c1451d3b1c104a6cca7813a9946e,,"152,148.97716889 ETH",0.12634511%,199
40,0x8484ef722627bf18ca5ae6bcf031c23e6e922b30,Polygon (Matic): Ether Bridge,"151,241.20219825 ETH",0.12559129%,76
41,0xa160cdab225685da1d56aa342ad8841c3b53f291,Tornado.Cash: 100 ETH,"147,400 ETH",0.12240154%,"8,638"
42,0x8d95842b0bca501446683be598e12f1c616770c1,,"143,012.05700633 ETH",0.11875777%,66
